Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price,(Size),(Milage),,
348,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,530D SE [231] 5DR AUTO,03/05/2007,WX07NLT,3.0L,5 Door ESTATE,WHITE(BLACK),"85,923",Miles,,Diesel,Automatic,Margin,"Yes, with Manheim",Unclassified,23/07/2017,5,,,Lookers Group,-,"œ4,800","œ4,450",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Front Parking Sensors, Radio CD, Rear Parking Sensors"
,,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 GT TDI 5DR,02/04/2004,AV04YVU,2.0L,5 Door HATCHBACK,BLACK(Grey),"128,199",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",Unclassified,23/12/2016,10,,,Perrys,-,"œ1,500","œ1,300",?,?,?,"œ1,425",
1118,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC EX 5DR,11/12/2006,RJ56PLZ,1.8L,5 Door HATCHBACK,BLACK(Multi-coloured),"96,554",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",Unclassified,,6,,,Link Financial LTD,-,"œ2,050","œ1,825",?,?,?,"œ2,000",
1244,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI 170 GTD 5DR,29/05/2012,VE12BAO,2.0L,5 Door HATCHBACK,WHITE(BLACK),"104,361",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,26/11/2016,2,8,04/12/2015,Pentagon Group,-,"œ8,375","œ7,850",?,?,?,?,"6 Speed, Air Conditioning, Aux In, Dual Zone Climate, Heated Seats, Leather Trim, Privacy Glass, Radio CD"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D M SPORT 4DR,09/11/2007,PY57BZW,2.0L,4 Door SALOON,BLACK(BLACK),"102,384",Miles,,Diesel,Manual,Margin,No,5,,3,,,Barclays,"œ3,919","œ4,450","œ4,125",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Dual Zone Climate, Radio CD, Rear Parking Sensors"
400,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.4 TSI 160 GT 5DR,06/05/2009,ND09CZH,1.4L,5 Door HATCHBACK,BLUE(BLACK),"75,605",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,,2,3,21/12/2013,Pulman Group Direct,-,"œ5,100","œ4,775",?,?,?,?,"6 Speed, Air Conditioning, Cruise Control, Radio CD, Traction Control"
646,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.4 GT SPORT TSI 3DR,14/07/2008,AN08UCR,1.4L,3 Door HATCHBACK,BLACK(BLACK),"81,094",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,17/07/2017,1,5,09/07/2014,Marshall Motor Group,-,"œ2,900","œ2,650",?,?,?,?,"6 Speed, Air Conditioning, Automatic Lights, Cruise Control, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Traction Control"
2029,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 MATCH 5DR DSG,24/04/2012,RE12KFR,1.6L,5 Door HATCHBACK,BLACK(BLACK),"62,723",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,29/09/2017,3,,,Money 4 Your Motors LTD,-,"œ6,675","œ6,250",?,?,?,?,"Air Conditioning, Aux In, Cruise Control, Radio CD, Rear Parking Sensors"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER,4.4 TDV8 AUTOBIOGRAPHY 4DR AUT,13/03/2013,BV13HNK,4.4L,4 Door ESTATE,BLACK(BEIGE),"80,813",Miles,w,Diesel,Automatic,Qualifying,"Yes, with Manheim",5,12/03/2017,1,4,26/06/2016,Hitachi Capital,"œ51,000","œ27,800","œ26,800",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Electric Sun Roof, Front Parking Sensors, Heated Front Screen, Heated Seats, Ipod Connectivity, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Rear Seat Entertainment, Sat Nav Functioning, Traction Control"
